seller_id,seller_name,seller_mobile,service,city,top_category,package_value,churn_score,risk_band,top_risk_factors,replies_202602,replies_202603,replies_202604,replies_202605,lapse_rate_202602,lapse_rate_202603,lapse_rate_202604,lapse_rate_202605,bl_cons_202602,bl_cons_202603,bl_cons_202604,bl_cons_202605,lapse_rate,email_dead,notif_loss_rate,bd_days_gap,action_taken,dim_engagement,dim_roi,dim_bd_coverage,dim_biz_outcomes,dim_catalog
264134829,Pooja Verma (15),9694054807,TrustSEAL,Surat,Auto Parts,18000,100.0,BLACK,"Reply rate critically low (2 replies/month, was 17) | 83% of BL credits lapsed unused this month | No BD contact in 107 days — seller has been ignored",24,17,10,6,0.7,0.74,0.74,0.75,49,36,22,15,0.83,1,0.87,107,IVR_TRIGGERED,37.3,28.8,14.2,7.0,4.8
264281609,Arun Bose (81),9663222455,MaxBiz,Kolkata,Food Processing,18000,99.9,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 79% of BL credits lapsed unused this month | No BD contact in 107 days — seller has been ignored,40,28,17,15,0.53,0.55,0.58,0.62,59,41,25,22,0.79,1,0.96,107,IVR_TRIGGERED,36.5,29.3,13.4,9.4,4.3
264355343,Deepak Gupta (66),9725809940,Lead Manager,Mumbai,Chemicals,50000,99.9,BLACK,"Reply rate critically low (3 replies/month, was 30) | 77% of BL credits lapsed unused this month | No BD contact in 118 days — seller has been ignored",38,30,19,15,0.65,0.69,0.72,0.72,27,21,13,10,0.77,1,0.95,118,IVR_TRIGGERED,32.1,26.8,12.2,8.6,4.5
264526896,Pooja Verma (65),9684344451,Catalog,Delhi,Furniture,18000,99.6,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 82% of BL credits lapsed unused this month | No BD contact in 115 days — seller has been ignored,34,20,17,13,0.61,0.61,0.64,0.64,56,33,29,22,0.82,1,0.64,115,IVR_TRIGGERED,30.4,26.6,14.8,8.4,3.7
264005512,Pooja Verma (18),9806570376,TrustSEAL,Surat,Construction,25000,99.6,BLACK,"Reply rate critically low (9 replies/month, was 23) | 96% of BL credits lapsed unused this month | No BD contact in 46 days — seller has been ignored",28,23,19,12,0.81,0.86,0.89,0.92,29,24,20,12,0.96,0,0.74,46,IVR_TRIGGERED,37.9,25.5,11.3,8.1,3.7
264190280,Manoj Tiwari (92),9792561555,Catalog,Hyderabad,Auto Parts,18000,99.5,BLACK,"Reply rate critically low (6 replies/month, was 14) | 98% of BL credits lapsed unused this month | No BD contact in 103 days — seller has been ignored",21,14,12,7,0.76,0.77,0.79,0.84,20,13,11,7,0.98,1,0.73,103,IVR_TRIGGERED,27.9,28.6,11.1,7.4,3.9
264677881,Sunita Singh (27),9809912534,MaxBiz,Ahmedabad,Auto Parts,25000,99.4,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | No BD contact in 116 days — seller has been ignored | 76% notifications undelivered — contact info stale,37,31,28,18,0.45,0.46,0.5,0.51,26,22,20,12,0.7,0,0.76,116,IVR_TRIGGERED,35.2,23.1,10.9,9.0,4.3
264389394,Suresh Nair (45),9891537386,Catalog,Ahmedabad,Furniture,12000,99.4,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 88% of BL credits lapsed unused this month | No BD contact in 95 days — seller has been ignored,31,20,17,15,0.68,0.73,0.76,0.76,38,24,20,18,0.88,0,0.83,95,IVR_TRIGGERED,33.0,28.4,12.0,9.3,4.9
264889561,Kavita Joshi (60),9952687555,Lead Manager,Delhi,Packaging Materials,50000,99.4,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 88% of BL credits lapsed unused this month | No BD contact in 74 days — seller has been ignored,37,29,19,15,0.75,0.78,0.79,0.83,34,27,18,15,0.88,1,0.72,74,IVR_TRIGGERED,38.7,24.7,14.5,9.3,4.5
264280570,Priya Patel (95),9942261937,TrustSEAL,Pune,Construction,18000,99.3,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 74% of BL credits lapsed unused this month | No BD contact in 101 days — seller has been ignored,35,32,27,21,0.48,0.5,0.53,0.55,17,15,13,10,0.74,0,0.75,101,IVR_TRIGGERED,35.5,23.1,10.9,9.1,4.2
264091794,Pooja Verma (29),9728067840,Lead Manager,Surat,Textile & Apparel,50000,99.2,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 84% of BL credits lapsed unused this month | No BD contact in 77 days — seller has been ignored,36,33,30,24,0.75,0.77,0.78,0.82,19,17,15,12,0.84,0,0.67,77,IVR_TRIGGERED,30.7,27.1,11.8,9.0,4.7
264127878,Meena Pillai (85),9830226264,MaxBiz,Mumbai,Medical Equipment,12000,99.2,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 76% of BL credits lapsed unused this month | No BD contact in 72 days — seller has been ignored,25,15,10,6,0.68,0.69,0.73,0.74,40,24,16,9,0.76,1,0.82,72,IVR_TRIGGERED,30.9,27.9,13.0,9.3,3.8
264182574,Arun Bose (99),9762237112,TrustSEAL,Delhi,Chemicals,12000,99.2,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 79% of BL credits lapsed unused this month | No BD contact in 108 days — seller has been ignored,46,38,30,20,0.65,0.69,0.74,0.77,57,47,38,26,0.79,1,0.75,108,IVR_TRIGGERED,30.4,24.8,11.5,8.0,4.9
264362955,Sunita Singh (71),9712146472,MaxBiz,Kolkata,Industrial Machinery,18000,99.1,BLACK,"Reply rate critically low (3 replies/month, was 22) | 99% of BL credits lapsed unused this month | No BD contact in 60 days — seller has been ignored",32,22,19,16,0.77,0.79,0.81,0.85,33,23,20,17,0.99,1,0.7,60,IVR_TRIGGERED,36.8,23.7,11.3,7.9,3.5
264820113,Anita Rao (22),9879784434,Lead Manager,Surat,Packaging Materials,25000,99.0,BLACK,"Reply rate critically low (3 replies/month, was 19) | 75% of BL credits lapsed unused this month | No BD contact in 50 days — seller has been ignored",31,19,13,9,0.59,0.62,0.63,0.64,20,12,8,5,0.75,1,0.86,50,IVR_TRIGGERED,37.1,20.9,10.6,9.3,4.2
264776645,Rekha Agarwal (52),9739462484,MaxBiz,Pune,Construction,50000,99.0,BLACK,"Reply rate critically low (5 replies/month, was 31) | 78% of BL credits lapsed unused this month | No BD contact in 47 days — seller has been ignored",41,31,23,18,0.66,0.7,0.7,0.72,48,37,27,21,0.78,0,0.86,47,IVR_TRIGGERED,39.1,28.5,13.2,9.7,4.1
264273266,Arun Bose (59),9782018902,Lead Manager,Surat,Food Processing,25000,98.9,BLACK,"Reply rate critically low (3 replies/month, was 24) | 86% of BL credits lapsed unused this month | No BD contact in 55 days — seller has been ignored",35,24,17,12,0.73,0.76,0.79,0.79,16,11,8,5,0.86,0,0.93,55,IVR_TRIGGERED,38.0,23.9,14.8,7.7,4.9
264012528,Arun Bose (10),9921555926,MaxBiz,Surat,Industrial Machinery,12000,98.9,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 96% of BL credits lapsed unused this month | No BD contact in 84 days — seller has been ignored,20,15,10,7,0.67,0.7,0.74,0.75,46,35,24,17,0.96,1,0.79,84,IVR_TRIGGERED,34.1,27.3,11.3,7.8,4.9
264468333,Rahul Sharma (85),9636256274,Catalog,Kolkata,Electronics,12000,98.8,BLACK,"Reply rate critically low (2 replies/month, was 25) | 98% of BL credits lapsed unused this month | No BD contact in 95 days — seller has been ignored",40,25,23,16,0.78,0.83,0.84,0.87,38,23,21,15,0.98,1,0.76,95,IVR_TRIGGERED,36.7,26.5,13.2,7.8,4.1
264257114,Meena Pillai (93),9780007637,Lead Manager,Ahmedabad,Industrial Machinery,25000,98.8,BLACK,"Reply rate critically low (7 replies/month, was 14) | 84% of BL credits lapsed unused this month | No BD contact in 62 days — seller has been ignored",18,14,12,7,0.74,0.76,0.77,0.78,47,38,33,21,0.84,0,0.96,62,IVR_TRIGGERED,35.2,26.3,10.7,9.4,4.2
264703899,Priya Patel (43),9798339004,Lead Manager,Mumbai,Electronics,50000,98.6,BLACK,"Reply rate critically low (4 replies/month, was 39) | 81% of BL credits lapsed unused this month | No BD contact in 105 days — seller has been ignored",50,39,32,26,0.6,0.61,0.63,0.67,33,26,21,17,0.81,0,0.73,105,IVR_TRIGGERED,33.7,24.0,14.4,8.4,4.0
264169773,Anita Rao (91),9736353046,TrustSEAL,Kolkata,Industrial Machinery,35000,98.5,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 90% of BL credits lapsed unused this month | No BD contact in 65 days — seller has been ignored,24,18,14,13,0.73,0.74,0.77,0.78,26,19,15,14,0.9,0,0.77,65,IVR_TRIGGERED,39.1,26.5,11.6,8.6,4.5
264667627,Deepak Gupta (79),9888318983,TrustSEAL,Delhi,Furniture,18000,98.3,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 90% of BL credits lapsed unused this month | No BD contact in 87 days — seller has been ignored,15,12,11,7,0.82,0.85,0.88,0.93,31,25,23,16,0.9,0,0.93,87,IVR_TRIGGERED,38.7,24.1,12.7,7.7,4.8
264248373,Deepak Gupta (30),9707211903,Lead Manager,Kolkata,Industrial Machinery,35000,98.1,BLACK,Replies collapsed to 0 — seller has stopped responding to leads entirely | 87% of BL credits lapsed unused this month | No BD contact in 58 days — seller has been ignored,42,38,34,25,0.59,0.63,0.68,0.7,25,22,20,14,0.87,1,0.66,58,IVR_TRIGGERED,31.9,24.0,10.7,7.5,3.9
264558865,Vijay Mehta (74),9816565751,Lead Manager,Mumbai,Chemicals,18000,98.1,BLACK,"Reply rate critically low (3 replies/month, was 19) | 76% of BL credits lapsed unused this month | No BD contact in 52 days — seller has been ignored",31,19,13,8,0.62,0.62,0.65,0.69,38,24,17,11,0.76,0,0.88,52,IVR_TRIGGERED,34.4,23.7,11.0,9.5,4.5
